notes	group	b	se	p_value	N
sr, drop smallest counties, 0	pool	-7.4858158	2.2982338	.00154165	2100
sr, drop smallest counties, 5	pool	-7.2065477	2.3085564	.00238952	1995
sr, drop smallest counties, 10	pool	-6.8834386	2.3032111	.00362186	1890
sr, drop smallest counties, 15	pool	-6.8229854	2.3356676	.00447692	1785
sr, drop smallest counties, 20	pool	-7.0650985	2.3643189	.00373786	1680
sr, drop smallest counties, 25	pool	-7.2402931	2.3949084	.00343551	1575
sr, drop smallest counties, 30	pool	-7.0737948	2.4559374	.00528873	1470
sr, drop smallest counties, 35	pool	-7.1523735	2.5195103	.00606179	1365
sr, drop smallest counties, 40	pool	-6.6368786	2.6727392	.01588383	1260
sr, drop smallest counties, 45	pool	-6.5919722	2.7309063	.01920614	1155
sr, drop smallest counties, 50	pool	-7.4693709	2.8203858	.01085269	1050
sr, timing of death, Include only deaths in first 24 hours	pool	-8.8576256	4.626788	.05845357	2100
sr, timing of death, Exclude deaths in first 24 hours	pool	-6.0670699	2.1183098	.005106	2100
sr, timing of death, Exclude deaths in first week	pool	-8.2491363	2.399541	.00085916	2100
sr, timing of death, Exclude deaths in first month	pool	-9.5833657	2.7887242	.00086293	2100
sr, timing of death, Include only deaths in first 24 hours	black	-16.45284	5.0661169	.00161937	1974
sr, timing of death, Include only deaths in first 24 hours	white	-6.0586382	5.9415428	.31051237	1974
sr, timing of death, Include only deaths in first 24 hours	int	-11.064564	7.0435282	.11960585	3948
sr, timing of death, Exclude deaths in first 24 hours	black	-12.063718	3.2939224	.00041292	1995
sr, timing of death, Exclude deaths in first 24 hours	white	-3.1418185	2.9135306	.28363506	1995
sr, timing of death, Exclude deaths in first 24 hours	int	-9.211302	4.4109567	.03947654	3990
sr, timing of death, Exclude deaths in first week	black	-14.533506	3.6753607	.0001487	1995
sr, timing of death, Exclude deaths in first week	white	-4.6240312	3.3266785	.16781655	1995
sr, timing of death, Exclude deaths in first week	int	-10.389908	5.0420982	.04210096	3990
